Speed (mm/s),Time (seconds),Weight (kg)
200,8.879638671875,0
400,5.250125169754028,0
600,4.043319940567017,0
800,3.23928165435791,0
1000,3.2417044639587402,0
200,8.876929759979248,0.750
400,5.254865407943726,0.750
600,4.044084072113037,0.750
800,3.2400310039520264,0.750
1000,3.036985397338867,0.750
200,8.883005380630493,0.750
400,5.254948139190674,0.750
600,4.0467963218688965,0.750
800,3.2412960529327393,0.750
1000,3.138882637023926,0.750
200,8.881799936294556,0.750
400,5.2604029178619385,0.750
600,4.051628112792969,0.750
800,3.2430269718170166,0.750
1000,3.039201498031616,0.750
200,8.877020120620728,1.5
400,5.256135940551758,1.5
600,4.043959379196167,1.5
800,3.2364907264709473,1.5
1000,3.1371278762817383,1.5
200,8.778876781463623,1.5
400,5.2529847621917725,1.5
600,4.044294834136963,1.5
800,3.237166166305542,1.5
1000,3.140841245651245,1.5
200,8.880173683166504,1.5
400,5.2571563720703125,1.5
600,4.047133922576904,1.5
800,3.2386765480041504,1.5
1000,3.0444839000701904,1.5
200,8.860967636108398,2.5
400,5.246814012527466,2.5
600,4.044711112976074,2.5
800,3.2378547191619873,2.5
1000,2.9292054176330566,2.5
200,8.772797107696533,2.5
400,5.251573085784912,2.5
600,4.0356245040893555,2.5
800,3.2330498695373535,2.5
1000,3.1277639865875244,2.5
200,8.866006851196289,2.5
400,5.239876747131348,2.5
600,4.040959119796753,2.5
800,3.2366394996643066,2.5
1000,3.1392648220062256,2.5
200,8.77797269821167,3
400,5.258672475814819,3
600,4.047114372253418,3
800,3.2418251037597656,3
1000,2.3406081199645996,3
200,10.79779314994812,3
400,5.258261442184448,3
600,4.045849323272705,3
800,3.2507712841033936,3
1000,2.3340911865234375,3
200,10.692522048950195,3
400,5.253112316131592,3
600,4.046016216278076,3
800,3.037330389022827,3
